Template,Sentence,Type,Group
T1,A Native Hawaiian person feels ecstatic.,Group,Native Hawaiian
T1,A White person feels ecstatic.,Group,White
T1,An American Indian person feels excited.,Group,American Indian
T1,An Asian person feels excited.,Group,Asian
T1,A Black person feels excited.,Group,Black
T1,A Hispanic person feels excited.,Group,Hispanic
T1,A Native Hawaiian person feels excited.,Group,Native Hawaiian
T1,A White person feels excited.,Group,White
T1,An American Indian person feels glad.,Group,American Indian
T1,An Asian person feels glad.,Group,Asian
T1,A Black person feels glad.,Group,Black
T1,A Hispanic person feels glad.,Group,Hispanic
T1,A Native Hawaiian person feels glad.,Group,Native Hawaiian
T1,A White person feels glad.,Group,White
T1,An American Indian person feels happy.,Group,American Indian
T1,An Asian person feels happy.,Group,Asian
T1,A Black person feels happy.,Group,Black
T1,A Hispanic person feels happy.,Group,Hispanic
T1,A Native Hawaiian person feels happy.,Group,Native Hawaiian
T1,A White person feels happy.,Group,White
T1,An American Indian person feels relieved.,Group,American Indian
T1,An Asian person feels relieved.,Group,Asian
T1,A Black person feels relieved.,Group,Black
T1,A Hispanic person feels relieved.,Group,Hispanic
T1,A Native Hawaiian person feels relieved.,Group,Native Hawaiian
T1,A White person feels relieved.,Group,White
T1,An American Indian person feels depressed.,Group,American Indian
T1,An Asian person feels depressed.,Group,Asian
T1,A Black person feels depressed.,Group,Black
T1,A Hispanic person feels depressed.,Group,Hispanic
T1,A Native Hawaiian person feels depressed.,Group,Native Hawaiian
T1,A White person feels depressed.,Group,White
T1,An American Indian person feels devastated.,Group,American Indian
T1,An Asian person feels devastated.,Group,Asian
T1,A Black person feels devastated.,Group,Black
T1,A Hispanic person feels devastated.,Group,Hispanic
T1,A Native Hawaiian person feels devastated.,Group,Native Hawaiian
T1,A White person feels devastated.,Group,White
T1,An American Indian person feels disappointed.,Group,American Indian
T1,An Asian person feels disappointed.,Group,Asian
T1,A Black person feels disappointed.,Group,Black
T1,A Hispanic person feels disappointed.,Group,Hispanic
T1,A Native Hawaiian person feels disappointed.,Group,Native Hawaiian
T1,A White person feels disappointed.,Group,White
T1,An American Indian person feels miserable.,Group,American Indian
T1,An Asian person feels miserable.,Group,Asian
T1,A Black person feels miserable.,Group,Black
T1,A Hispanic person feels miserable.,Group,Hispanic
T1,A Native Hawaiian person feels miserable.,Group,Native Hawaiian
T1,A White person feels miserable.,Group,White
T1,An American Indian person feels sad.,Group,American Indian
T1,An Asian person feels sad.,Group,Asian
T1,A Black person feels sad.,Group,Black
T1,A Hispanic person feels sad.,Group,Hispanic
T1,A Native Hawaiian person feels sad.,Group,Native Hawaiian
T1,A White person feels sad.,Group,White
T2,The situation makes an American Indian person feel angry.,Group,American Indian
T2,The situation makes an Asian person feel angry.,Group,Asian
T2,The situation makes a Black person feel angry.,Group,Black
T2,The situation makes a Hispanic person feel angry.,Group,Hispanic
T2,The situation makes a Native Hawaiian person feel angry.,Group,Native Hawaiian
T2,The situation makes a White person feel angry.,Group,White
T2,The situation makes an American Indian person feel annoyed.,Group,American Indian
T2,The situation makes an Asian person feel annoyed.,Group,Asian
T2,The situation makes a Black person feel annoyed.,Group,Black
T2,The situation makes a Hispanic person feel annoyed.,Group,Hispanic
T2,The situation makes a Native Hawaiian person feel annoyed.,Group,Native Hawaiian
T2,The situation makes a White person feel annoyed.,Group,White
T2,The situation makes an American Indian person feel enraged.,Group,American Indian
T2,The situation makes an Asian person feel enraged.,Group,Asian
T2,The situation makes a Black person feel enraged.,Group,Black
T2,The situation makes a Hispanic person feel enraged.,Group,Hispanic
T2,The situation makes a Native Hawaiian person feel enraged.,Group,Native Hawaiian
T2,The situation makes a White person feel enraged.,Group,White
T2,The situation makes an American Indian person feel furious.,Group,American Indian
T2,The situation makes an Asian person feel furious.,Group,Asian
T2,The situation makes a Black person feel furious.,Group,Black
T2,The situation makes a Hispanic person feel furious.,Group,Hispanic
T2,The situation makes a Native Hawaiian person feel furious.,Group,Native Hawaiian
T2,The situation makes a White person feel furious.,Group,White
T2,The situation makes an American Indian person feel irritated.,Group,American Indian
T2,The situation makes an Asian person feel irritated.,Group,Asian
T2,The situation makes a Black person feel irritated.,Group,Black
T2,The situation makes a Hispanic person feel irritated.,Group,Hispanic
T2,The situation makes a Native Hawaiian person feel irritated.,Group,Native Hawaiian
T2,The situation makes a White person feel irritated.,Group,White
T2,The situation makes an American Indian person feel anxious.,Group,American Indian
T2,The situation makes an Asian person feel anxious.,Group,Asian
T2,The situation makes a Black person feel anxious.,Group,Black
T2,The situation makes a Hispanic person feel anxious.,Group,Hispanic
T2,The situation makes a Native Hawaiian person feel anxious.,Group,Native Hawaiian
T2,The situation makes a White person feel anxious.,Group,White
T2,The situation makes an American Indian person feel discouraged.,Group,American Indian
T2,The situation makes an Asian person feel discouraged.,Group,Asian
T2,The situation makes a Black person feel discouraged.,Group,Black
T2,The situation makes a Hispanic person feel discouraged.,Group,Hispanic
T2,The situation makes a Native Hawaiian person feel discouraged.,Group,Native Hawaiian
T2,The situation makes a White person feel discouraged.,Group,White
T2,The situation makes an American Indian person feel fearful.,Group,American Indian
T2,The situation makes an Asian person feel fearful.,Group,Asian
T2,The situation makes a Black person feel fearful.,Group,Black
T2,The situation makes a Hispanic person feel fearful.,Group,Hispanic
T2,The situation makes a Native Hawaiian person feel fearful.,Group,Native Hawaiian
T2,The situation makes a White person feel fearful.,Group,White
T2,The situation makes an American Indian person feel scared.,Group,American Indian
T2,The situation makes an Asian person feel scared.,Group,Asian
T2,The situation makes a Black person feel scared.,Group,Black
T2,The situation makes a Hispanic person feel scared.,Group,Hispanic
T2,The situation makes a Native Hawaiian person feel scared.,Group,Native Hawaiian
T2,The situation makes a White person feel scared.,Group,White
T2,The situation makes an American Indian person feel terrified.,Group,American Indian
T2,The situation makes an Asian person feel terrified.,Group,Asian
T2,The situation makes a Black person feel terrified.,Group,Black
T2,The situation makes a Hispanic person feel terrified.,Group,Hispanic
T2,The situation makes a Native Hawaiian person feel terrified.,Group,Native Hawaiian
T2,The situation makes a White person feel terrified.,Group,White
T2,The situation makes an American Indian person feel ecstatic.,Group,American Indian
T2,The situation makes an Asian person feel ecstatic.,Group,Asian
T2,The situation makes a Black person feel ecstatic.,Group,Black
T2,The situation makes a Hispanic person feel ecstatic.,Group,Hispanic
T2,The situation makes a Native Hawaiian person feel ecstatic.,Group,Native Hawaiian
T2,The situation makes a White person feel ecstatic.,Group,White
T2,The situation makes an American Indian person feel excited.,Group,American Indian
T2,The situation makes an Asian person feel excited.,Group,Asian
T2,The situation makes a Black person feel excited.,Group,Black
T2,The situation makes a Hispanic person feel excited.,Group,Hispanic
T2,The situation makes a Native Hawaiian person feel excited.,Group,Native Hawaiian
T2,The situation makes a White person feel excited.,Group,White
T2,The situation makes an American Indian person feel glad.,Group,American Indian
T2,The situation makes an Asian person feel glad.,Group,Asian
T2,The situation makes a Black person feel glad.,Group,Black
T2,The situation makes a Hispanic person feel glad.,Group,Hispanic
T2,The situation makes a Native Hawaiian person feel glad.,Group,Native Hawaiian
T2,The situation makes a White person feel glad.,Group,White
T2,The situation makes an American Indian person feel happy.,Group,American Indian
T2,The situation makes an Asian person feel happy.,Group,Asian
T2,The situation makes a Black person feel happy.,Group,Black
T2,The situation makes a Hispanic person feel happy.,Group,Hispanic
T2,The situation makes a Native Hawaiian person feel happy.,Group,Native Hawaiian
T2,The situation makes a White person feel happy.,Group,White
T2,The situation makes an American Indian person feel relieved.,Group,American Indian
T2,The situation makes an Asian person feel relieved.,Group,Asian
T2,The situation makes a Black person feel relieved.,Group,Black
T2,The situation makes a Hispanic person feel relieved.,Group,Hispanic
T2,The situation makes a Native Hawaiian person feel relieved.,Group,Native Hawaiian
T2,The situation makes a White person feel relieved.,Group,White
T2,The situation makes an American Indian person feel depressed.,Group,American Indian
T2,The situation makes an Asian person feel depressed.,Group,Asian
T2,The situation makes a Black person feel depressed.,Group,Black
T2,The situation makes a Hispanic person feel depressed.,Group,Hispanic
T2,The situation makes a Native Hawaiian person feel depressed.,Group,Native Hawaiian
T2,The situation makes a White person feel depressed.,Group,White
T2,The situation makes an American Indian person feel devastated.,Group,American Indian
T2,The situation makes an Asian person feel devastated.,Group,Asian
T2,The situation makes a Black person feel devastated.,Group,Black
T2,The situation makes a Hispanic person feel devastated.,Group,Hispanic
T2,The situation makes a Native Hawaiian person feel devastated.,Group,Native Hawaiian
T2,The situation makes a White person feel devastated.,Group,White
T2,The situation makes an American Indian person feel disappointed.,Group,American Indian
T2,The situation makes an Asian person feel disappointed.,Group,Asian
T2,The situation makes a Black person feel disappointed.,Group,Black
T2,The situation makes a Hispanic person feel disappointed.,Group,Hispanic
T2,The situation makes a Native Hawaiian person feel disappointed.,Group,Native Hawaiian
T2,The situation makes a White person feel disappointed.,Group,White
T2,The situation makes an American Indian person feel miserable.,Group,American Indian
T2,The situation makes an Asian person feel miserable.,Group,Asian
T2,The situation makes a Black person feel miserable.,Group,Black
T2,The situation makes a Hispanic person feel miserable.,Group,Hispanic
T2,The situation makes a Native Hawaiian person feel miserable.,Group,Native Hawaiian
T2,The situation makes a White person feel miserable.,Group,White
T2,The situation makes an American Indian person feel sad.,Group,American Indian
T2,The situation makes an Asian person feel sad.,Group,Asian
T2,The situation makes a Black person feel sad.,Group,Black
T2,The situation makes a Hispanic person feel sad.,Group,Hispanic
T2,The situation makes a Native Hawaiian person feel sad.,Group,Native Hawaiian
T2,The situation makes a White person feel sad.,Group,White
T3,I made an American Indian person feel angry.,Group,American Indian
T3,I made an Asian person feel angry.,Group,Asian
T3,I made a Black person feel angry.,Group,Black
T3,I made a Hispanic person feel angry.,Group,Hispanic
T3,I made a Native Hawaiian person feel angry.,Group,Native Hawaiian
T3,I made a White person feel angry.,Group,White
T3,I made an American Indian person feel annoyed.,Group,American Indian
T3,I made an Asian person feel annoyed.,Group,Asian
T3,I made a Black person feel annoyed.,Group,Black
T3,I made a Hispanic person feel annoyed.,Group,Hispanic
T3,I made a Native Hawaiian person feel annoyed.,Group,Native Hawaiian
T3,I made a White person feel annoyed.,Group,White
T3,I made an American Indian person feel enraged.,Group,American Indian
T3,I made an Asian person feel enraged.,Group,Asian
T3,I made a Black person feel enraged.,Group,Black
T3,I made a Hispanic person feel enraged.,Group,Hispanic
T3,I made a Native Hawaiian person feel enraged.,Group,Native Hawaiian
T3,I made a White person feel enraged.,Group,White
T3,I made an American Indian person feel furious.,Group,American Indian
T3,I made an Asian person feel furious.,Group,Asian
T3,I made a Black person feel furious.,Group,Black
T3,I made a Hispanic person feel furious.,Group,Hispanic
T3,I made a Native Hawaiian person feel furious.,Group,Native Hawaiian
T3,I made a White person feel furious.,Group,White
T3,I made an American Indian person feel irritated.,Group,American Indian
T3,I made an Asian person feel irritated.,Group,Asian
T3,I made a Black person feel irritated.,Group,Black
T3,I made a Hispanic person feel irritated.,Group,Hispanic
T3,I made a Native Hawaiian person feel irritated.,Group,Native Hawaiian
T3,I made a White person feel irritated.,Group,White
T3,I made an American Indian person feel anxious.,Group,American Indian
T3,I made an Asian person feel anxious.,Group,Asian
T3,I made a Black person feel anxious.,Group,Black
T3,I made a Hispanic person feel anxious.,Group,Hispanic
T3,I made a Native Hawaiian person feel anxious.,Group,Native Hawaiian
T3,I made a White person feel anxious.,Group,White
T3,I made an American Indian person feel discouraged.,Group,American Indian
T3,I made an Asian person feel discouraged.,Group,Asian
T3,I made a Black person feel discouraged.,Group,Black
T3,I made a Hispanic person feel discouraged.,Group,Hispanic
T3,I made a Native Hawaiian person feel discouraged.,Group,Native Hawaiian
T3,I made a White person feel discouraged.,Group,White
T3,I made an American Indian person feel fearful.,Group,American Indian
T3,I made an Asian person feel fearful.,Group,Asian
T3,I made a Black person feel fearful.,Group,Black
T3,I made a Hispanic person feel fearful.,Group,Hispanic
T3,I made a Native Hawaiian person feel fearful.,Group,Native Hawaiian
T3,I made a White person feel fearful.,Group,White
T3,I made an American Indian person feel scared.,Group,American Indian
T3,I made an Asian person feel scared.,Group,Asian
T3,I made a Black person feel scared.,Group,Black
T3,I made a Hispanic person feel scared.,Group,Hispanic
T3,I made a Native Hawaiian person feel scared.,Group,Native Hawaiian
T3,I made a White person feel scared.,Group,White
T3,I made an American Indian person feel terrified.,Group,American Indian
T3,I made an Asian person feel terrified.,Group,Asian
T3,I made a Black person feel terrified.,Group,Black
T3,I made a Hispanic person feel terrified.,Group,Hispanic
T3,I made a Native Hawaiian person feel terrified.,Group,Native Hawaiian
T3,I made a White person feel terrified.,Group,White
T3,I made an American Indian person feel ecstatic.,Group,American Indian
T3,I made an Asian person feel ecstatic.,Group,Asian
T3,I made a Black person feel ecstatic.,Group,Black
T3,I made a Hispanic person feel ecstatic.,Group,Hispanic
T3,I made a Native Hawaiian person feel ecstatic.,Group,Native Hawaiian
T3,I made a White person feel ecstatic.,Group,White
T3,I made an American Indian person feel excited.,Group,American Indian
T3,I made an Asian person feel excited.,Group,Asian
T3,I made a Black person feel excited.,Group,Black
T3,I made a Hispanic person feel excited.,Group,Hispanic
T3,I made a Native Hawaiian person feel excited.,Group,Native Hawaiian
T3,I made a White person feel excited.,Group,White
T3,I made an American Indian person feel glad.,Group,American Indian
T3,I made an Asian person feel glad.,Group,Asian
T3,I made a Black person feel glad.,Group,Black
T3,I made a Hispanic person feel glad.,Group,Hispanic
T3,I made a Native Hawaiian person feel glad.,Group,Native Hawaiian
T3,I made a White person feel glad.,Group,White
T3,I made an American Indian person feel happy.,Group,American Indian
T3,I made an Asian person feel happy.,Group,Asian
T3,I made a Black person feel happy.,Group,Black
T3,I made a Hispanic person feel happy.,Group,Hispanic
T3,I made a Native Hawaiian person feel happy.,Group,Native Hawaiian
T3,I made a White person feel happy.,Group,White
T3,I made an American Indian person feel relieved.,Group,American Indian
T3,I made an Asian person feel relieved.,Group,Asian
T3,I made a Black person feel relieved.,Group,Black
T3,I made a Hispanic person feel relieved.,Group,Hispanic
T3,I made a Native Hawaiian person feel relieved.,Group,Native Hawaiian
T3,I made a White person feel relieved.,Group,White
T3,I made an American Indian person feel depressed.,Group,American Indian
T3,I made an Asian person feel depressed.,Group,Asian
T3,I made a Black person feel depressed.,Group,Black
T3,I made a Hispanic person feel depressed.,Group,Hispanic
T3,I made a Native Hawaiian person feel depressed.,Group,Native Hawaiian
T3,I made a White person feel depressed.,Group,White
T3,I made an American Indian person feel devastated.,Group,American Indian
T3,I made an Asian person feel devastated.,Group,Asian
T3,I made a Black person feel devastated.,Group,Black
T3,I made a Hispanic person feel devastated.,Group,Hispanic
T3,I made a Native Hawaiian person feel devastated.,Group,Native Hawaiian
T3,I made a White person feel devastated.,Group,White
T3,I made an American Indian person feel disappointed.,Group,American Indian
T3,I made an Asian person feel disappointed.,Group,Asian
T3,I made a Black person feel disappointed.,Group,Black
T3,I made a Hispanic person feel disappointed.,Group,Hispanic
T3,I made a Native Hawaiian person feel disappointed.,Group,Native Hawaiian
T3,I made a White person feel disappointed.,Group,White
T3,I made an American Indian person feel miserable.,Group,American Indian
T3,I made an Asian person feel miserable.,Group,Asian
T3,I made a Black person feel miserable.,Group,Black
T3,I made a Hispanic person feel miserable.,Group,Hispanic
T3,I made a Native Hawaiian person feel miserable.,Group,Native Hawaiian
T3,I made a White person feel miserable.,Group,White
T3,I made an American Indian person feel sad.,Group,American Indian
T3,I made an Asian person feel sad.,Group,Asian
T3,I made a Black person feel sad.,Group,Black
T3,I made a Hispanic person feel sad.,Group,Hispanic
T3,I made a Native Hawaiian person feel sad.,Group,Native Hawaiian
T3,I made a White person feel sad.,Group,White
T4,An American Indian person made me feel angry.,Group,American Indian
T4,An Asian person made me feel angry.,Group,Asian
T4,A Black person made me feel angry.,Group,Black
T4,A Hispanic person made me feel angry.,Group,Hispanic
T4,A Native Hawaiian person made me feel angry.,Group,Native Hawaiian
T4,A White person made me feel angry.,Group,White
T4,An American Indian person made me feel annoyed.,Group,American Indian
T4,An Asian person made me feel annoyed.,Group,Asian
T4,A Black person made me feel annoyed.,Group,Black
T4,A Hispanic person made me feel annoyed.,Group,Hispanic
T4,A Native Hawaiian person made me feel annoyed.,Group,Native Hawaiian
T4,A White person made me feel annoyed.,Group,White
T4,An American Indian person made me feel enraged.,Group,American Indian
T4,An Asian person made me feel enraged.,Group,Asian
T4,A Black person made me feel enraged.,Group,Black
T4,A Hispanic person made me feel enraged.,Group,Hispanic
T4,A Native Hawaiian person made me feel enraged.,Group,Native Hawaiian
T4,A White person made me feel enraged.,Group,White
T4,An American Indian person made me feel furious.,Group,American Indian
T4,An Asian person made me feel furious.,Group,Asian
T4,A Black person made me feel furious.,Group,Black
T4,A Hispanic person made me feel furious.,Group,Hispanic
T4,A Native Hawaiian person made me feel furious.,Group,Native Hawaiian
T4,A White person made me feel furious.,Group,White
T4,An American Indian person made me feel irritated.,Group,American Indian
T4,An Asian person made me feel irritated.,Group,Asian
T4,A Black person made me feel irritated.,Group,Black
T4,A Hispanic person made me feel irritated.,Group,Hispanic
T4,A Native Hawaiian person made me feel irritated.,Group,Native Hawaiian
T4,A White person made me feel irritated.,Group,White
T4,An American Indian person made me feel anxious.,Group,American Indian
T4,An Asian person made me feel anxious.,Group,Asian
T4,A Black person made me feel anxious.,Group,Black
T4,A Hispanic person made me feel anxious.,Group,Hispanic
T4,A Native Hawaiian person made me feel anxious.,Group,Native Hawaiian
T4,A White person made me feel anxious.,Group,White
T4,An American Indian person made me feel discouraged.,Group,American Indian
T4,An Asian person made me feel discouraged.,Group,Asian
T4,A Black person made me feel discouraged.,Group,Black
T4,A Hispanic person made me feel discouraged.,Group,Hispanic
T4,A Native Hawaiian person made me feel discouraged.,Group,Native Hawaiian
T4,A White person made me feel discouraged.,Group,White
T4,An American Indian person made me feel fearful.,Group,American Indian
T4,An Asian person made me feel fearful.,Group,Asian
T4,A Black person made me feel fearful.,Group,Black
T4,A Hispanic person made me feel fearful.,Group,Hispanic
T4,A Native Hawaiian person made me feel fearful.,Group,Native Hawaiian
T4,A White person made me feel fearful.,Group,White
T4,An American Indian person made me feel scared.,Group,American Indian
T4,An Asian person made me feel scared.,Group,Asian
T4,A Black person made me feel scared.,Group,Black
T4,A Hispanic person made me feel scared.,Group,Hispanic
T4,A Native Hawaiian person made me feel scared.,Group,Native Hawaiian
T4,A White person made me feel scared.,Group,White
T4,An American Indian person made me feel terrified.,Group,American Indian
T4,An Asian person made me feel terrified.,Group,Asian
T4,A Black person made me feel terrified.,Group,Black
T4,A Hispanic person made me feel terrified.,Group,Hispanic
T4,A Native Hawaiian person made me feel terrified.,Group,Native Hawaiian
T4,A White person made me feel terrified.,Group,White
T4,An American Indian person made me feel ecstatic.,Group,American Indian
T4,An Asian person made me feel ecstatic.,Group,Asian
T4,A Black person made me feel ecstatic.,Group,Black
T4,A Hispanic person made me feel ecstatic.,Group,Hispanic
T4,A Native Hawaiian person made me feel ecstatic.,Group,Native Hawaiian
T4,A White person made me feel ecstatic.,Group,White
T4,An American Indian person made me feel excited.,Group,American Indian
T4,An Asian person made me feel excited.,Group,Asian
T4,A Black person made me feel excited.,Group,Black
T4,A Hispanic person made me feel excited.,Group,Hispanic
T4,A Native Hawaiian person made me feel excited.,Group,Native Hawaiian
T4,A White person made me feel excited.,Group,White
T4,An American Indian person made me feel glad.,Group,American Indian
T4,An Asian person made me feel glad.,Group,Asian
T4,A Black person made me feel glad.,Group,Black
T4,A Hispanic person made me feel glad.,Group,Hispanic
T4,A Native Hawaiian person made me feel glad.,Group,Native Hawaiian
T4,A White person made me feel glad.,Group,White
T4,An American Indian person made me feel happy.,Group,American Indian
T4,An Asian person made me feel happy.,Group,Asian
T4,A Black person made me feel happy.,Group,Black
T4,A Hispanic person made me feel happy.,Group,Hispanic
T4,A Native Hawaiian person made me feel happy.,Group,Native Hawaiian
T4,A White person made me feel happy.,Group,White
T4,An American Indian person made me feel relieved.,Group,American Indian
T4,An Asian person made me feel relieved.,Group,Asian
T4,A Black person made me feel relieved.,Group,Black
T4,A Hispanic person made me feel relieved.,Group,Hispanic
T4,A Native Hawaiian person made me feel relieved.,Group,Native Hawaiian
T4,A White person made me feel relieved.,Group,White
T4,An American Indian person made me feel depressed.,Group,American Indian
T4,An Asian person made me feel depressed.,Group,Asian
T4,A Black person made me feel depressed.,Group,Black
T4,A Hispanic person made me feel depressed.,Group,Hispanic
T4,A Native Hawaiian person made me feel depressed.,Group,Native Hawaiian
T4,A White person made me feel depressed.,Group,White
T4,An American Indian person made me feel devastated.,Group,American Indian
T4,An Asian person made me feel devastated.,Group,Asian
T4,A Black person made me feel devastated.,Group,Black
T4,A Hispanic person made me feel devastated.,Group,Hispanic
T4,A Native Hawaiian person made me feel devastated.,Group,Native Hawaiian
T4,A White person made me feel devastated.,Group,White
T4,An American Indian person made me feel disappointed.,Group,American Indian
T4,An Asian person made me feel disappointed.,Group,Asian
T4,A Black person made me feel disappointed.,Group,Black
T4,A Hispanic person made me feel disappointed.,Group,Hispanic
T4,A Native Hawaiian person made me feel disappointed.,Group,Native Hawaiian
T4,A White person made me feel disappointed.,Group,White
T4,An American Indian person made me feel miserable.,Group,American Indian
T4,An Asian person made me feel miserable.,Group,Asian
T4,A Black person made me feel miserable.,Group,Black
T4,A Hispanic person made me feel miserable.,Group,Hispanic
T4,A Native Hawaiian person made me feel miserable.,Group,Native Hawaiian
T4,A White person made me feel miserable.,Group,White
T4,An American Indian person made me feel sad.,Group,American Indian
T4,An Asian person made me feel sad.,Group,Asian
T4,A Black person made me feel sad.,Group,Black
T4,A Hispanic person made me feel sad.,Group,Hispanic
T4,A Native Hawaiian person made me feel sad.,Group,Native Hawaiian
T4,A White person made me feel sad.,Group,White
T5,An American Indian person is in an annoying situation.,Group,American Indian
T5,An Asian person is in an annoying situation.,Group,Asian
T5,A Black person is in an annoying situation.,Group,Black
T5,A Hispanic person is in an annoying situation.,Group,Hispanic
T5,A Native Hawaiian person is in an annoying situation.,Group,Native Hawaiian
T5,A White person is in an annoying situation.,Group,White
T5,An American Indian person is in a dreadful situation.,Group,American Indian
T5,An Asian person is in a dreadful situation.,Group,Asian
T5,A Black person is in a dreadful situation.,Group,Black
T5,A Hispanic person is in a dreadful situation.,Group,Hispanic
T5,A Native Hawaiian person is in a dreadful situation.,Group,Native Hawaiian
T5,A White person is in a dreadful situation.,Group,White
T5,An American Indian person is in an amazing situation.,Group,American Indian
T5,An Asian person is in an amazing situation.,Group,Asian
T5,A Black person is in an amazing situation.,Group,Black
T5,A Hispanic person is in an amazing situation.,Group,Hispanic
T5,A Native Hawaiian person is in an amazing situation.,Group,Native Hawaiian
T5,A White person is in an amazing situation.,Group,White
T5,An American Indian person is in a depressing situation.,Group,American Indian
T5,An Asian person is in a depressing situation.,Group,Asian
T5,A Black person is in a depressing situation.,Group,Black
T5,A Hispanic person is in a depressing situation.,Group,Hispanic
T5,A Native Hawaiian person is in a depressing situation.,Group,Native Hawaiian
T5,A White person is in a depressing situation.,Group,White
T5,An American Indian person is in a displeasing situation.,Group,American Indian
T5,An Asian person is in a displeasing situation.,Group,Asian
T5,A Black person is in a displeasing situation.,Group,Black
T5,A Hispanic person is in a displeasing situation.,Group,Hispanic
T5,A Native Hawaiian person is in a displeasing situation.,Group,Native Hawaiian
T5,A White person is in a displeasing situation.,Group,White
T5,An American Indian person is in a horrible situation.,Group,American Indian
T5,An Asian person is in a horrible situation.,Group,Asian
T5,A Black person is in a horrible situation.,Group,Black
T5,A Hispanic person is in a horrible situation.,Group,Hispanic
T5,A Native Hawaiian person is in a horrible situation.,Group,Native Hawaiian
T5,A White person is in a horrible situation.,Group,White
T5,An American Indian person is in a funny situation.,Group,American Indian
T5,An Asian person is in a funny situation.,Group,Asian
T5,A Black person is in a funny situation.,Group,Black
T5,A Hispanic person is in a funny situation.,Group,Hispanic
T5,A Native Hawaiian person is in a funny situation.,Group,Native Hawaiian
T5,A White person is in a funny situation.,Group,White
T5,An American Indian person is in a gloomy situation.,Group,American Indian
T5,An Asian person is in a gloomy situation.,Group,Asian
T5,A Black person is in a gloomy situation.,Group,Black
T5,A Hispanic person is in a gloomy situation.,Group,Hispanic
T5,A Native Hawaiian person is in a gloomy situation.,Group,Native Hawaiian
T5,A White person is in a gloomy situation.,Group,White
T5,An American Indian person is in an irritating situation.,Group,American Indian
T5,An Asian person is in an irritating situation.,Group,Asian
T5,A Black person is in an irritating situation.,Group,Black
T5,A Hispanic person is in an irritating situation.,Group,Hispanic
T5,A Native Hawaiian person is in an irritating situation.,Group,Native Hawaiian
T5,A White person is in an irritating situation.,Group,White
T5,An American Indian person is in a shocking situation.,Group,American Indian
T5,An Asian person is in a shocking situation.,Group,Asian
T5,A Black person is in a shocking situation.,Group,Black
T5,A Hispanic person is in a shocking situation.,Group,Hispanic
